id,report_date,campaign_id,campaign_name,campaign_status,start_date,end_date,country,primary_region,secondary_region,dma_code,dma_name,imps_won,clicks,ctr,total_ecpm,total_ecpc,total_ecpa,ctc,vtc,total_conversions,click_cvr,view_cvr,total_cvrm,ctc_revenue,vtc_revenue,total_revenue,media_spend,data_spend,total_spend,audio_video_starts,complete_25,complete_50,complete_75,complete_100,completion_rate,ecpcv,companion_imps_won,companion_clicks,companion_ctc,companion_ctc_revenue,brand_id,brand_name,owner_key,updated_at
8,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",Alabama,Unknown,0,"Unknown DMA",10,0,0.0000,9.954525,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.095018,0.004528,0.099546,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
18,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",Alabama,Unknown,522,"Columbus, GA",15,0,0.0000,11.367994,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.161372,0.009148,0.170520,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
28,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",Alabama,Unknown,606,"Dothan, AL",3,0,0.0000,13.436458,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.037919,0.002390,0.040309,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
38,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",Alabama,Unknown,630,"Birmingham, AL",57,0,0.0000,12.850621,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.687179,0.045307,0.732486,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
48,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",Alabama,Unknown,691,"Huntsville/Decatur/Florence, AL",8,0,0.0000,6.802453,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.051653,0.002766,0.054419,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
58,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",Alabama,Unknown,698,"Montgomery/Selma, AL",15,0,0.0000,10.606184,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.150762,0.008331,0.159093,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
68,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",Alaska,Unknown,743,"Anchorage, AK",2,0,0.0000,8.183798,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.015287,0.001081,0.016367,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
78,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",Arizona,Unknown,753,"Phoenix, AZ",17,0,0.0000,11.297789,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.180338,0.011724,0.192062,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
88,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",Arizona,Unknown,789,"Tucson/Sierra Vista, AZ",5,0,0.0000,6.564877,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.031702,0.001123,0.032824,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
98,2025-12-31,3103471,Retargeting,Y,NULL,NULL,"United States",Arkansas,Unknown,0,"Unknown DMA",3,0,0.0000,8.814684,0.000000,0.000000,0,0,0,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.025424,0.001021,0.026445,0,0,0,0,0,0.0000,0.000000,0,0,0,0.000000,139527,"Bluefield University",248,"2026-03-31 10:45:51"
